country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found
slovenia,g13_00006_13.tif,6504062,701,1.20488,120.49,0.1744,0
slovenia,g13_00006_13.tif,6504063,427,0.73393,73.39,0.1302,0
slovenia,g13_00006_13.tif,6504064,27,0.04641,4.64,0.0,0
slovenia,g13_00006_13.tif,6523596,95,0.16329,16.33,0.0,0
slovenia,g13_00006_13.tif,6578410,156,0.26813,26.81,0.0,0
slovenia,g13_00006_13.tif,6625271,249,0.42798,42.8,0.7982,1
slovenia,g13_00006_13.tif,6668356,445,0.76486,76.49,0.0,0
slovenia,g13_00006_13.tif,6715455,1767,3.03711,303.71,0.0,0
slovenia,g13_00006_13.tif,6715465,319,0.5483,54.83,0.0,0
slovenia,g13_00006_13.tif,6888878,200,0.34376,34.38,0.0,0
slovenia,g13_00006_13.tif,6888881,8,0.01375,1.38,0.0,0
slovenia,g13_00006_13.tif,6888882,51,0.08766,8.77,0.0,0
slovenia,g13_00006_13.tif,6888883,227,0.39017,39.02,0.7338,1
slovenia,g13_00006_13.tif,6917369,375,0.64455,64.45,0.0,0
slovenia,g13_00006_13.tif,6917377,289,0.49673,49.67,0.8544,1
slovenia,g13_00006_13.tif,6917383,33,0.05672,5.67,0.0,0
slovenia,g13_00006_13.tif,6945577,34,0.05844,5.84,0.0,0
slovenia,g13_00006_5.tif,6098813,24,0.04125,4.13,0.0,0
slovenia,g13_00006_5.tif,6098814,15,0.02578,2.58,0.0,0
slovenia,g13_00006_5.tif,6166701,139,0.23891,23.89,0.0,0
slovenia,g13_00006_5.tif,6469566,24,0.04125,4.13,0.0,0
slovenia,g13_00006_5.tif,6649668,66,0.11344,11.34,0.0,0
slovenia,g13_00006_5.tif,6649670,63,0.10828,10.83,0.0,0
slovenia,g13_00006_5.tif,6649671,37,0.0636,6.36,0.0,0
slovenia,g13_00006_5.tif,6649672,157,0.26985,26.99,0.0,0
slovenia,g13_00006_5.tif,6649673,93,0.15985,15.98,0.0,0
slovenia,g13_00006_5.tif,6649818,18,0.03094,3.09,0.0,0
slovenia,g13_00006_5.tif,6895511,95,0.16329,16.33,0.0,0
slovenia,g13_00006_5.tif,6895518,80,0.1375,13.75,0.0,0
slovenia,g13_00006_5.tif,6899202,93,0.15985,15.98,0.0,0
slovenia,g13_00006_5.tif,6899203,45,0.07735,7.73,0.0,0
slovenia,g13_00006_5.tif,6899212,60,0.10313,10.31,0.0,0
slovenia,g13_00006_5.tif,6899213,16,0.0275,2.75,0.0,0
slovenia,g13_00006_6.tif,6098812,130,0.22344,22.34,0.0,0
slovenia,g13_00006_6.tif,6098814,6,0.01031,1.03,0.0,0
slovenia,g13_00006_6.tif,6098816,162,0.27844,27.84,0.0,0
slovenia,g13_00006_6.tif,6537427,40,0.06875,6.88,0.0,0
slovenia,g13_00006_7.tif,6338980,607,1.04331,104.33,0.0,0
slovenia,g13_00006_7.tif,6446137,84,0.14438,14.44,0.0,0
slovenia,g13_00006_7.tif,6793026,12,0.02063,2.06,0.0,0
slovenia,g13_00006_7.tif,6793028,57,0.09797,9.8,0.0,0
slovenia,g13_00006_7.tif,6793029,247,0.42454,42.45,0.0,0
slovenia,g13_00006_7.tif,6793030,14,0.02406,2.41,0.0,0
slovenia,g13_00006_7.tif,6793031,5,0.00859,0.86,0.0,0
slovenia,g13_00006_7.tif,6801711,55,0.09453,9.45,0.0,0
slovenia,g13_00006_7.tif,6801712,51,0.08766,8.77,0.0,0
slovenia,g13_00016_0.tif,6102575,56,0.09625,9.63,0.0,0
slovenia,g13_00016_0.tif,6220602,20,0.03438,3.44,0.0,0
slovenia,g13_00016_0.tif,6243944,15,0.02578,2.58,0.0,0
slovenia,g13_00016_0.tif,6243948,157,0.26985,26.99,0.0,0
slovenia,g13_00016_0.tif,6248570,35,0.06016,6.02,0.0,0
slovenia,g13_00016_0.tif,6309752,37,0.0636,6.36,0.0,0
slovenia,g13_00016_0.tif,6343333,180,0.30938,30.94,0.0,0
slovenia,g13_00016_0.tif,6959166,365,0.62736,62.74,0.0,0
slovenia,g13_00016_1.tif,6243948,33,0.05672,5.67,0.0,0
slovenia,g13_00017_17.tif,6092968,148,0.25438,25.44,0.5365,1
slovenia,g13_00017_17.tif,6112021,43,0.07391,7.39,0.2941,0
slovenia,g13_00017_17.tif,6164514,501,0.86112,86.11,0.2859,0
slovenia,g13_00017_17.tif,6168691,48,0.0825,8.25,0.0,0
slovenia,g13_00017_17.tif,6168692,100,0.17188,17.19,0.0,0
slovenia,g13_00017_17.tif,6168693,60,0.10313,10.31,0.0,0
slovenia,g13_00017_17.tif,6168694,475,0.81643,81.64,0.0,0
slovenia,g13_00017_17.tif,6193419,89,0.15297,15.3,0.0,0
slovenia,g13_00017_17.tif,6239504,95,0.16329,16.33,0.0,0
slovenia,g13_00017_17.tif,6239505,198,0.34032,34.03,0.0845,0
slovenia,g13_00017_17.tif,6239746,29,0.04985,4.98,0.0,0
slovenia,g13_00017_17.tif,6241660,189,0.32485,32.49,0.0,0
slovenia,g13_00017_17.tif,6257963,289,0.49673,49.67,0.7158,1
slovenia,g13_00017_17.tif,6257967,49,0.08422,8.42,0.0,0
slovenia,g13_00017_17.tif,6298597,100,0.17188,17.19,0.3977,0
slovenia,g13_00017_17.tif,6298647,63,0.10828,10.83,0.092,0
slovenia,g13_00017_17.tif,6335164,149,0.2561,25.61,0.1897,0
slovenia,g13_00017_17.tif,6335165,124,0.21313,21.31,0.0036,0
slovenia,g13_00017_17.tif,6357855,769,1.32175,132.18,0.769,1
slovenia,g13_00017_17.tif,6357856,508,0.87315,87.31,0.0671,0
slovenia,g13_00017_17.tif,6357859,6,0.01031,1.03,0.0,0
slovenia,g13_00017_17.tif,6368730,277,0.47611,47.61,0.1002,0
slovenia,g13_00017_17.tif,6373005,104,0.17875,17.88,0.7647,1
slovenia,g13_00017_17.tif,6373841,56,0.09625,9.63,0.0,0
slovenia,g13_00017_17.tif,6373935,89,0.15297,15.3,0.0,0
slovenia,g13_00017_17.tif,6373937,20,0.03438,3.44,0.0,0
slovenia,g13_00017_17.tif,6373938,40,0.06875,6.88,0.0,0
slovenia,g13_00017_17.tif,6373939,24,0.04125,4.13,0.0,0
slovenia,g13_00017_17.tif,6410172,355,0.61017,61.02,0.1535,0
slovenia,g13_00017_17.tif,6469623,9,0.01547,1.55,0.5,1
slovenia,g13_00017_17.tif,6469625,50,0.08594,8.59,0.0,0
slovenia,g13_00017_17.tif,6469709,80,0.1375,13.75,0.0357,0
slovenia,g13_00017_17.tif,6477163,59,0.10141,10.14,0.0,0
slovenia,g13_00017_17.tif,6477164,263,0.45204,45.2,0.8052,1
slovenia,g13_00017_17.tif,6477167,72,0.12375,12.38,0.8182,1
slovenia,g13_00017_17.tif,6477168,26,0.04469,4.47,0.0257,0
slovenia,g13_00017_17.tif,6500731,3,0.00516,0.52,0.0,0
slovenia,g13_00017_17.tif,6606604,33,0.05672,5.67,0.0111,0
slovenia,g13_00017_17.tif,6617028,64,0.11,11.0,0.8723,1
slovenia,g13_00017_17.tif,6639520,889,1.52801,152.8,0.4027,0
slovenia,g13_00017_17.tif,6639522,295,0.50704,50.7,0.8021,1
slovenia,g13_00017_17.tif,6639523,386,0.66346,66.35,0.1505,0
slovenia,g13_00017_17.tif,6639526,1256,2.15881,215.88,0.9467,1
slovenia,g13_00017_17.tif,6639528,764,1.31316,131.32,0.8741,1
slovenia,g13_00017_17.tif,6639530,607,1.04331,104.33,0.8604,1
slovenia,g13_00017_17.tif,6639538,460,0.79065,79.06,0.2073,0
slovenia,g13_00017_17.tif,6639542,404,0.69439,69.44,0.6122,1
slovenia,g13_00017_17.tif,6639546,308,0.52939,52.94,0.1623,0
slovenia,g13_00017_17.tif,6639548,276,0.47439,47.44,0.0,0
slovenia,g13_00017_17.tif,6639554,219,0.37642,37.64,0.0,0
slovenia,g13_00017_17.tif,6639759,47,0.08078,8.08,0.0034,0
slovenia,g13_00017_17.tif,6647091,431,0.7408,74.08,0.4182,0
slovenia,g13_00017_17.tif,6647092,167,0.28704,28.7,0.0,0
slovenia,g13_00017_17.tif,6658340,737,1.26675,126.68,0.0079,0
slovenia,g13_00017_17.tif,6658343,351,0.6033,60.33,0.0,0
slovenia,g13_00017_17.tif,6668555,1769,3.04055,304.05,0.7882,1
slovenia,g13_00017_17.tif,6668562,51,0.08766,8.77,0.0,0
slovenia,g13_00017_17.tif,6676156,83,0.14266,14.27,0.0,0
slovenia,g13_00017_17.tif,6676158,763,1.31144,131.14,0.0,0
slovenia,g13_00017_17.tif,6676159,275,0.47267,47.27,0.0,0
slovenia,g13_00017_17.tif,6713230,588,1.01065,101.07,0.0435,0
slovenia,g13_00017_17.tif,6717412,377,0.64799,64.8,0.6242,1
slovenia,g13_00017_17.tif,6717413,70,0.12032,12.03,0.0409,0
slovenia,g13_00017_17.tif,6717423,339,0.58267,58.27,0.5745,1
slovenia,g13_00017_17.tif,6717424,99,0.17016,17.02,0.0,0
slovenia,g13_00017_17.tif,6717427,90,0.15469,15.47,0.9718,1
slovenia,g13_00017_17.tif,6717437,215,0.36954,36.95,0.0244,0
slovenia,g13_00017_17.tif,6846301,195,0.33517,33.52,0.0,0
slovenia,g13_00017_17.tif,6846303,208,0.35751,35.75,0.0,0
slovenia,g13_00017_17.tif,6846341,332,0.57064,57.06,0.75,1
slovenia,g13_00017_17.tif,6846357,20,0.03438,3.44,0.0261,0
slovenia,g13_00017_17.tif,6853088,602,1.03472,103.47,0.0,0
slovenia,g13_00017_17.tif,6853106,42,0.07219,7.22,0.0,0
slovenia,g13_00017_17.tif,6881114,521,0.89549,89.55,0.0714,0
slovenia,g13_00017_17.tif,6940227,524,0.90065,90.06,0.3049,0
slovenia,g13_00017_17.tif,6940228,296,0.50876,50.88,0.0,0
slovenia,g13_00017_18.tif,6084205,110,0.18907,18.91,0.0,0
slovenia,g13_00017_18.tif,6084321,615,1.05706,105.71,0.063,0
slovenia,g13_00017_18.tif,6084429,46,0.07906,7.91,0.0,0
slovenia,g13_00017_18.tif,6092954,742,1.27535,127.53,0.0713,0
