composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0693,0,2.107,1,2,249,66.29
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1362,0,3.768,1,2,249,66.29
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.3049,0,4.247,0,0,256,66.29
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3722,0,6.775,0,0,256,66.29
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1043,0,2.107,0,0,256,66.29
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0478,0,2.107,0,0,256,66.29
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768,0,0,256,66.29
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2,0,4.247,1,0,256,66.29
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1906,0,6.775,1,0,256,66.29
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0723,0,2.107,1,0,256,66.29
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1009,0,2.107,1,0,256,66.29
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.2965,0,3.768,1,0,256,66.29
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1905,0,4.247,1,1,256,66.29
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1717,0,6.775,1,1,256,66.29
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.15,0,2.107,1,1,256,66.29
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1885,0,2.107,1,1,256,66.29
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0709,0,3.768,1,1,256,66.29
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1191,0,4.247,1,2,256,66.29
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2649,0,6.775,1,2,256,66.29
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0704,0,2.107,1,2,256,66.29
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0938,0,2.107,1,2,256,66.29
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1896,0,3.768,1,2,256,66.29
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.3049,0,4.247,0,0,259,66.29
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3722,0,6.775,0,0,259,66.29
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1043,0,2.107,0,0,259,66.29
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0478,0,2.107,0,0,259,66.29
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768,0,0,259,66.29
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2128,0,4.247,1,0,259,66.29
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2397,0,6.775,1,0,259,66.29
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0889,0,2.107,1,0,259,66.29
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1185,0,2.107,1,0,259,66.29
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0635,0,3.768,1,0,259,66.29
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.199,0,4.247,1,1,259,66.29
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2175,0,6.775,1,1,259,66.29
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0885,0,2.107,1,1,259,66.29
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.2667,0,2.107,1,1,259,66.29
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.4386,0,3.768,1,1,259,66.29
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1004,0,4.247,1,2,259,66.29
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1626,0,6.775,1,2,259,66.29
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.2222,0,2.107,1,2,259,66.29
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0971,0,2.107,1,2,259,66.29
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.2639,0,3.768,1,2,259,66.29
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.0144,0,3.034,0,0,125,65.06
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0101,0,3.034,0,0,125,65.06
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.2555,0,3.231,0,0,125,65.06
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2083,0,3.034,0,0,125,65.06
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.234,0,3.034,0,0,125,65.06
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.0238,0,3.034,1,0,125,65.06
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.038,0,3.034,1,0,125,65.06
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1068,0,3.231,1,0,125,65.06
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0855,0,3.034,1,0,125,65.06
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.0977,0,3.034,1,0,125,65.06
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.1054,0,3.034,1,1,125,65.06
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0909,0,3.034,1,1,125,65.06
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.199,0,3.231,1,1,125,65.06
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1376,0,3.034,1,1,125,65.06
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1214,0,3.034,1,1,125,65.06
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.0909,0,3.034,1,2,125,65.06
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.068,0,3.034,1,2,125,65.06
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.0995,0,3.231,1,2,125,65.06
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0813,0,3.034,1,2,125,65.06
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1217,0,3.034,1,2,125,65.06
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.05,0,3.034,0,0,192,65.06
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0107,0,3.034,0,0,192,65.06
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.2724,0,3.231,0,0,192,65.06
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2227,0,3.034,0,0,192,65.06
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.25,0,3.034,0,0,192,65.06
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.0882,0,3.034,1,0,192,65.06
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.3365,0,3.034,1,0,192,65.06
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.0639,0,3.231,1,0,192,65.06
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0998,0,3.034,1,0,192,65.06
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1281,0,3.034,1,0,192,65.06
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.0936,0,3.034,1,1,192,65.06
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0806,0,3.034,1,1,192,65.06
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.0823,0,3.231,1,1,192,65.06
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1019,0,3.034,1,1,192,65.06
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1238,0,3.034,1,1,192,65.06
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.0553,0,3.034,1,2,192,65.06
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.092,0,3.034,1,2,192,65.06
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.2287,0,3.231,1,2,192,65.06
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1587,0,3.034,1,2,192,65.06
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.1804,0,3.034,1,2,192,65.06
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.4615,0,3.034,0,0,218,65.06
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.321,0,3.034,0,0,218,65.06
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.2734,0,3.231,0,0,218,65.06
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2236,0,3.034,0,0,218,65.06
true,0.70/0.88,g0_0073.tif,369,64,0.2356,23.56,0.251,0,3.034,0,0,218,65.06
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.0881,0,3.034,1,0,218,65.06
true,0.70/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0652,0,3.034,1,0,218,65.06
true,0.70/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1247,0,3.231,1,0,218,65.06
true,0.70/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0909,0,3.034,1,0,218,65.06
