composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
false,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.3433,0,4.247,1,2,200,72.64
false,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2321,0,6.775,1,2,200,72.64
false,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0498,0,2.107,1,2,200,72.64
false,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0598,0,2.107,1,2,200,72.64
false,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1238,0,3.768,1,2,200,72.64
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0048,0,4.247,0,0,205,72.64
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0093,0,6.775,0,0,205,72.64
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1021,0,2.107,0,0,205,72.64
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0723,0,2.107,0,0,205,72.64
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0027,0,3.768,0,0,205,72.64
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2353,0,4.247,1,0,205,72.64
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.5,1,6.775,1,0,205,72.64
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.037,0,2.107,1,0,205,72.64
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0413,0,2.107,1,0,205,72.64
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1489,0,3.768,1,0,205,72.64
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1874,0,4.247,1,1,205,72.64
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4006,0,6.775,1,1,205,72.64
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0587,0,2.107,1,1,205,72.64
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0782,0,2.107,1,1,205,72.64
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.127,0,3.768,1,1,205,72.64
false,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2388,0,4.247,1,2,205,72.64
false,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3395,0,6.775,1,2,205,72.64
false,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0482,0,2.107,1,2,205,72.64
false,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0621,0,2.107,1,2,205,72.64
false,0.60/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1562,0,3.768,1,2,205,72.64
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0048,0,4.247,0,0,206,72.64
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0094,0,6.775,0,0,206,72.64
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1021,0,2.107,0,0,206,72.64
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0723,0,2.107,0,0,206,72.64
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0028,0,3.768,0,0,206,72.64
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0848,0,4.247,1,0,206,72.64
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1977,0,6.775,1,0,206,72.64
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0432,0,2.107,1,0,206,72.64
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0577,0,2.107,1,0,206,72.64
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1076,0,3.768,1,0,206,72.64
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2969,0,4.247,1,1,206,72.64
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2439,0,6.775,1,1,206,72.64
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.1875,0,2.107,1,1,206,72.64
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0889,0,2.107,1,1,206,72.64
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1378,0,3.768,1,1,206,72.64
false,0.50/0.88,g0_0030.tif,150,96,0.3534,35.34,0.253,0,4.247,1,2,206,72.64
false,0.50/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3165,0,6.775,1,2,206,72.64
false,0.50/0.88,g0_0030.tif,152,24,0.0884,8.84,0.044,0,2.107,1,2,206,72.64
false,0.50/0.88,g0_0030.tif,153,32,0.1178,11.78,0.1345,0,2.107,1,2,206,72.64
false,0.50/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1846,0,3.768,1,2,206,72.64
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.0013,0,3.034,0,0,153,73.1
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.001,0,3.034,0,0,153,73.1
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.271,0,3.231,0,0,153,73.1
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2126,0,3.034,0,0,153,73.1
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.2392,0,3.034,0,0,153,73.1
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.3089,0,3.034,1,0,153,73.1
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0742,0,3.034,1,0,153,73.1
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1531,0,3.231,1,0,153,73.1
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0909,0,3.034,1,0,153,73.1
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.05,0,3.034,1,0,153,73.1
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.0493,0,3.034,1,1,153,73.1
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0414,0,3.034,1,1,153,73.1
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.0907,0,3.231,1,1,153,73.1
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0627,0,3.034,1,1,153,73.1
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.142,0,3.034,1,1,153,73.1
true,0.88/0.88,g0_0073.tif,365,44,0.162,16.2,0.0481,0,3.034,1,2,153,73.1
true,0.88/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0301,0,3.034,1,2,153,73.1
true,0.88/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1343,0,3.231,1,2,153,73.1
true,0.88/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1029,0,3.034,1,2,153,73.1
true,0.88/0.88,g0_0073.tif,369,64,0.2356,23.56,0.0975,0,3.034,1,2,153,73.1
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.0016,0,3.034,0,0,193,73.1
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0007,0,3.034,0,0,193,73.1
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.271,0,3.231,0,0,193,73.1
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2126,0,3.034,0,0,193,73.1
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.2392,0,3.034,0,0,193,73.1
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.1833,0,3.034,1,0,193,73.1
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.1494,0,3.034,1,0,193,73.1
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.2463,0,3.231,1,0,193,73.1
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.2171,0,3.034,1,0,193,73.1
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.15,0,3.034,1,0,193,73.1
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.1835,0,3.034,1,1,193,73.1
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.1729,0,3.034,1,1,193,73.1
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.3348,0,3.231,1,1,193,73.1
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.0923,0,3.034,1,1,193,73.1
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.0819,0,3.034,1,1,193,73.1
true,0.80/0.88,g0_0073.tif,365,44,0.162,16.2,0.0813,0,3.034,1,2,193,73.1
true,0.80/0.88,g0_0073.tif,366,37,0.1362,13.62,0.0866,0,3.034,1,2,193,73.1
true,0.80/0.88,g0_0073.tif,367,81,0.2982,29.82,0.1724,0,3.231,1,2,193,73.1
true,0.80/0.88,g0_0073.tif,368,56,0.2062,20.62,0.1502,0,3.034,1,2,193,73.1
true,0.80/0.88,g0_0073.tif,369,64,0.2356,23.56,0.2278,0,3.034,1,2,193,73.1
true,0.70/0.88,g0_0073.tif,365,44,0.162,16.2,0.0017,0,3.034,0,0,204,73.1
