country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_0979.tif,4896,174,0.6405,64.05,0.3285,0,6.674
india,g0_1005.tif,5022,208,0.7657,76.57,0.4934,0,6.775
india,g0_1005.tif,5023,238,0.8761,87.61,0.4664,0,7.068
india,g0_1005.tif,5024,313,1.1522,115.22,0.5365,1,9.4
india,g0_1005.tif,5025,315,1.1596,115.96,0.2286,0,10.315
india,g0_1005.tif,5026,327,1.2038,120.38,0.6088,1,10.315
india,g0_1180.tif,5897,317,1.167,116.7,0.5987,1,5.461
india,g0_1180.tif,5898,264,0.9719,97.19,0.3048,0,5.581
india,g0_1180.tif,5899,177,0.6516,65.16,0.6822,1,6.674
india,g0_1180.tif,5900,862,3.1733,317.33,0.2935,0,16.382
india,g0_1180.tif,5901,848,3.1217,312.17,0.2743,0,14.743
india,g0_1210.tif,6047,88,0.324,32.4,0.398,0,4.82
india,g0_1210.tif,6048,39,0.1436,14.36,0.275,0,2.107
india,g0_1210.tif,6049,48,0.1767,17.67,0.5098,1,3.768
india,g0_1210.tif,6050,123,0.4528,45.28,0.3629,0,4.542
india,g0_1210.tif,6051,57,0.2098,20.98,0.5091,1,3.231
india,g0_1234.tif,6167,167,0.6148,61.48,0.1853,0,3.768
india,g0_1234.tif,6168,147,0.5411,54.11,0.1946,0,3.231
india,g0_1234.tif,6169,105,0.3865,38.65,0.2757,0,2.825
india,g0_1234.tif,6170,101,0.3718,37.18,0.3708,0,3.768
india,g0_1234.tif,6171,229,0.843,84.3,0.3414,0,8.144
india,g0_1243.tif,6212,262,0.9645,96.45,0.3299,0,4.247
india,g0_1243.tif,6213,315,1.1596,115.96,0.3384,0,6.469
india,g0_1243.tif,6214,217,0.7988,79.88,0.5766,1,7.068
india,g0_1243.tif,6215,78,0.2871,28.71,0.3067,0,2.825
india,g0_1243.tif,6216,56,0.2062,20.62,0.3083,0,1.82
india,g0_1245.tif,6222,18,0.0663,6.63,0.1143,0,1.82
india,g0_1245.tif,6223,21,0.0773,7.73,0.2,0,1.82
india,g0_1245.tif,6224,22,0.081,8.1,0.5278,1,1.82
india,g0_1245.tif,6225,16,0.0589,5.89,0.1231,0,1.82
india,g0_1245.tif,6226,24,0.0884,8.84,0.3279,0,2.825
india,g0_1263.tif,6312,98,0.3608,36.08,0.2252,0,3.768
india,g0_1263.tif,6313,121,0.4454,44.54,0.3774,0,4.397
india,g0_1263.tif,6314,145,0.5338,53.38,0.5449,1,5.928
india,g0_1263.tif,6315,214,0.7878,78.78,0.3548,0,5.461
india,g0_1263.tif,6316,205,0.7547,75.47,0.7661,1,6.469
india,g0_1316.tif,6577,43,0.1583,15.83,0.1024,0,3.034
india,g0_1316.tif,6578,28,0.1031,10.31,0.1412,0,1.82
india,g0_1316.tif,6579,32,0.1178,11.78,0.3111,0,1.82
india,g0_1316.tif,6580,82,0.3019,30.19,0.6098,1,4.247
india,g0_1316.tif,6581,38,0.1399,13.99,0.3478,0,1.82
india,g0_1343.tif,6712,182,0.67,67.0,0.4292,0,5.461
india,g0_1343.tif,6713,344,1.2664,126.64,0.4294,0,9.101
india,g0_1343.tif,6714,340,1.2516,125.16,0.2275,0,10.315
india,g0_1343.tif,6715,482,1.7744,177.44,0.5807,1,12.062
india,g0_1343.tif,6716,616,2.2677,226.77,0.5047,1,11.528
india,g0_1367.tif,6832,71,0.2614,26.14,0.2944,0,4.247
india,g0_1367.tif,6833,76,0.2798,27.98,0.3065,0,4.397
india,g0_1367.tif,6834,157,0.578,57.8,0.3439,0,5.581
india,g0_1367.tif,6835,107,0.3939,39.39,0.6078,1,3.768
india,g0_1367.tif,6836,82,0.3019,30.19,0.3049,0,3.034
