parcel_id,objects_over,best_iou,chip
9102,3,0.2538,g0_1820.tif
9108,6,0.4138,g0_1822.tif
9109,4,0.1866,g0_1822.tif
9110,2,0.1767,g0_1822.tif
9111,2,0.1679,g0_1822.tif
9112,4,0.1696,g0_1822.tif
9193,3,0.2143,g0_1839.tif
9194,4,0.7647,g0_1839.tif
9195,4,0.6311,g0_1839.tif
9196,5,0.6968,g0_1839.tif
9197,6,0.8007,g0_1839.tif
9223,3,0.2784,g0_1845.tif
9224,2,0.4043,g0_1845.tif
9225,5,0.5309,g0_1845.tif
9226,4,0.2169,g0_1845.tif
9227,5,0.4877,g0_1845.tif
9248,4,0.21,g0_1850.tif
9249,2,0.1652,g0_1850.tif
9250,4,0.492,g0_1850.tif
9251,4,0.2143,g0_1850.tif
9252,4,0.2872,g0_1850.tif
9343,3,0.356,g0_1869.tif
9344,4,0.3937,g0_1869.tif
9345,6,0.4091,g0_1869.tif
9346,6,0.3636,g0_1869.tif
9347,5,0.4087,g0_1869.tif
9503,4,0.3265,g0_1901.tif
9504,4,0.4472,g0_1901.tif
9505,5,0.6893,g0_1901.tif
9506,5,0.5408,g0_1901.tif
9507,7,0.5857,g0_1901.tif
9608,4,0.3056,g0_1922.tif
9609,4,0.72,g0_1922.tif
9610,4,0.4777,g0_1922.tif
9611,5,0.573,g0_1922.tif
9612,2,0.3622,g0_1922.tif
9688,3,0.3048,g0_1938.tif
9689,5,0.2044,g0_1938.tif
9690,5,0.6418,g0_1938.tif
9691,3,0.6077,g0_1938.tif
9692,3,0.7095,g0_1938.tif
9753,3,0.1839,g0_1951.tif
9754,1,0.2256,g0_1951.tif
9755,1,0.3045,g0_1951.tif
9756,1,0.1241,g0_1951.tif
9757,3,0.7333,g0_1951.tif
9923,6,0.2958,g0_1985.tif
9924,8,0.2778,g0_1985.tif
9925,2,0.2252,g0_1985.tif
9926,4,0.2378,g0_1985.tif
9927,4,0.2643,g0_1985.tif
1276,2,0.098,g1_0255.tif
1277,1,0.2131,g1_0255.tif
