product,threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,area_ha
gee_lee,-11.5,0.0942,0.1608,0.2316,0.1384,0.1385,0.9946,132705.5
gee_lee,-11.25,0.0932,0.1588,0.2285,0.1368,0.1369,0.9951,134386.0
gee_lee,-11.0,0.0923,0.1572,0.226,0.1354,0.1355,0.9955,135775.2
gee_lee,-10.75,0.0917,0.1558,0.224,0.1343,0.1344,0.9957,136914.1
gee_lee,-10.5,0.0911,0.1547,0.2224,0.1335,0.1335,0.9959,137852.2
gee_lee,-10.25,0.0907,0.1538,0.221,0.1327,0.1328,0.9961,138633.6
gee_lee,-10.0,0.0903,0.153,0.2199,0.1321,0.1322,0.9962,139276.8
gee_raw,-28.0,0.1015,0.3101,0.3012,0.2256,0.8834,0.2325,4865.4
gee_raw,-27.75,0.1078,0.3253,0.3162,0.2373,0.8811,0.2451,5142.4
gee_raw,-27.5,0.1144,0.3403,0.3322,0.2494,0.8785,0.2583,5433.5
gee_raw,-27.25,0.1215,0.356,0.3486,0.2619,0.8759,0.272,5739.2
gee_raw,-27.0,0.1289,0.3717,0.365,0.2746,0.8729,0.286,6056.6
gee_raw,-26.75,0.137,0.3877,0.3824,0.2879,0.8698,0.3009,6394.3
gee_raw,-26.5,0.1453,0.4037,0.3995,0.3013,0.8662,0.3159,6741.5
gee_raw,-26.25,0.1541,0.4195,0.4173,0.3149,0.8626,0.3315,7103.5
gee_raw,-26.0,0.1632,0.4355,0.4349,0.3287,0.8586,0.3475,7480.6
gee_raw,-25.75,0.1728,0.451,0.4524,0.3424,0.8541,0.3637,7870.5
gee_raw,-25.5,0.1825,0.4661,0.4702,0.3562,0.8492,0.3802,8275.4
gee_raw,-25.25,0.1926,0.4807,0.4881,0.37,0.844,0.3971,8696.9
gee_raw,-25.0,0.2029,0.4952,0.5053,0.3835,0.8384,0.4141,9129.7
gee_raw,-24.75,0.2137,0.5086,0.5224,0.3968,0.8322,0.4313,9579.7
gee_raw,-24.5,0.2243,0.5211,0.5392,0.4097,0.8255,0.4486,10044.3
gee_raw,-24.25,0.2348,0.5328,0.5553,0.4221,0.8182,0.4658,10522.5
gee_raw,-24.0,0.2452,0.5434,0.5702,0.4336,0.8101,0.4827,11012.9
gee_raw,-23.75,0.2554,0.5532,0.5847,0.4446,0.8013,0.4997,11526.2
gee_raw,-23.5,0.2653,0.5621,0.5981,0.4548,0.7919,0.5165,12055.2
gee_raw,-23.25,0.2748,0.5697,0.6106,0.4641,0.7818,0.5332,12605.1
gee_raw,-23.0,0.2839,0.5763,0.6216,0.4723,0.7708,0.5495,13177.8
gee_raw,-22.75,0.2921,0.5818,0.6316,0.4795,0.7588,0.5658,13781.8
gee_raw,-22.5,0.2999,0.5856,0.6404,0.4856,0.7461,0.5818,14412.6
gee_raw,-22.25,0.3063,0.5881,0.6481,0.4902,0.7322,0.5973,15077.3
gee_raw,-22.0,0.3119,0.5893,0.6542,0.4936,0.7175,0.6127,15782.4
gee_raw,-21.75,0.3164,0.5889,0.6592,0.4957,0.702,0.6278,16529.6
gee_raw,-21.5,0.3195,0.5875,0.6628,0.4963,0.6856,0.6425,17321.7
gee_raw,-21.25,0.3214,0.5846,0.665,0.4955,0.6684,0.6571,18170.8
gee_raw,-21.0,0.322,0.5808,0.6657,0.4933,0.6503,0.6714,19082.0
gee_raw,-20.75,0.3214,0.5748,0.6653,0.4897,0.6314,0.6856,20069.8
gee_raw,-20.5,0.3195,0.5679,0.6633,0.4846,0.612,0.6995,21128.9
gee_raw,-20.25,0.316,0.5594,0.6598,0.4779,0.5916,0.713,22276.3
gee_raw,-20.0,0.3121,0.5499,0.6549,0.4703,0.5713,0.7268,23514.1
gee_raw,-19.75,0.3068,0.5392,0.6488,0.4614,0.5505,0.7404,24860.6
gee_raw,-19.5,0.3006,0.5271,0.6412,0.4513,0.5294,0.7538,26319.4
gee_raw,-19.25,0.2934,0.5144,0.6322,0.4402,0.5082,0.7669,27892.6
gee_raw,-19.0,0.2855,0.5004,0.6218,0.4282,0.4871,0.7798,29593.0
gee_raw,-18.75,0.2772,0.4857,0.6104,0.4156,0.4662,0.7928,31432.0
gee_raw,-18.5,0.2683,0.4702,0.5976,0.4022,0.4455,0.8056,33423.8
gee_raw,-18.25,0.259,0.4543,0.5838,0.3884,0.4251,0.818,35564.9
gee_raw,-18.0,0.2494,0.4379,0.5691,0.3742,0.4052,0.8302,37871.7
gee_raw,-17.75,0.2397,0.4213,0.5538,0.3599,0.3859,0.8422,40340.1
gee_raw,-17.5,0.23,0.4047,0.5375,0.3454,0.3672,0.8537,42975.2
gee_raw,-17.25,0.2204,0.388,0.5208,0.3311,0.3492,0.8649,45779.8
gee_raw,-17.0,0.211,0.3714,0.5035,0.317,0.3319,0.8756,48760.1
gee_raw,-16.75,0.2018,0.3553,0.486,0.3031,0.3154,0.8859,51909.5
gee_raw,-16.5,0.1928,0.3395,0.4684,0.2897,0.2998,0.8958,55231.0
gee_raw,-16.25,0.1842,0.3242,0.4508,0.2767,0.2849,0.9052,58728.1
gee_raw,-16.0,0.176,0.3097,0.4334,0.2642,0.2709,0.9142,62372.4
gee_raw,-15.75,0.1682,0.2956,0.4163,0.2523,0.2577,0.9226,66162.2
gee_raw,-15.5,0.1608,0.2823,0.3998,0.241,0.2454,0.9304,70075.0
gee_raw,-15.25,0.1538,0.2697,0.3838,0.2303,0.2339,0.9377,74115.7
gee_raw,-15.0,0.1472,0.2578,0.3684,0.2202,0.2231,0.9445,78244.1
gee_raw,-14.75,0.1411,0.2468,0.3537,0.2109,0.2132,0.9508,82435.6
gee_raw,-14.5,0.1354,0.2363,0.3399,0.2021,0.204,0.9566,86664.8
gee_raw,-14.25,0.1302,0.2268,0.3268,0.1941,0.1956,0.9618,90886.7
gee_raw,-14.0,0.1254,0.2179,0.3147,0.1867,0.1879,0.9666,95090.1
gee_raw,-13.75,0.1209,0.2098,0.3034,0.1799,0.1809,0.9709,99227.1
gee_raw,-13.5,0.117,0.2025,0.293,0.1737,0.1745,0.9747,103253.2
gee_raw,-13.25,0.1133,0.1958,0.2834,0.1681,0.1687,0.9781,107154.5
gee_raw,-13.0,0.1101,0.1898,0.2747,0.163,0.1635,0.981,110894.5
gee_raw,-12.75,0.1071,0.1844,0.2669,0.1584,0.1589,0.9836,114432.8
gee_raw,-12.5,0.1045,0.1795,0.2598,0.1544,0.1547,0.9859,117765.1
gee_raw,-12.25,0.1022,0.1753,0.2534,0.1508,0.1511,0.9879,120854.7
gee_raw,-12.0,0.1002,0.1715,0.2478,0.1476,0.1479,0.9895,123692.3
gee_raw,-11.75,0.0984,0.1682,0.2429,0.1449,0.1451,0.9909,126262.3
gee_raw,-11.5,0.0969,0.1653,0.2385,0.1424,0.1426,0.9921,128595.2
gee_raw,-11.25,0.0955,0.1628,0.2348,0.1403,0.1405,0.993,130658.1
gee_raw,-11.0,0.0944,0.1607,0.2315,0.1385,0.1387,0.9938,132474.3
gee_raw,-10.75,0.0934,0.1589,0.2287,0.137,0.1371,0.9945,134058.5
gee_raw,-10.5,0.0926,0.1573,0.2263,0.1357,0.1358,0.9949,135430.9
gee_raw,-10.25,0.0919,0.1559,0.2242,0.1346,0.1347,0.9953,136606.7
gee_raw,-10.0,0.0913,0.1548,0.2225,0.1337,0.1337,0.9956,137604.6
