variant,chip_id,split,threshold,tiles_accepted,tiles_examined,truth_water_frac,pred_water_frac,iou
v3_tiled_vh,764946,valid,-13.41,16,16,0.0130,0.5389,0.0232
v3_tiled_vh,769408,valid,-15.86,16,16,0.0488,0.4677,0.0943
v3_tiled_vh,772630,test,-12.73,16,16,0.0087,0.5854,0.0144
v3_tiled_vh,773682,train,-16.01,16,16,0.1225,0.4477,0.2384
v3_tiled_vh,774689,train,-16.23,16,16,0.0792,0.3528,0.1841
v3_tiled_vh,79637,test,-15.41,16,16,0.0197,0.4789,0.0279
v3_tiled_vh,80221,test,-22.40,14,16,0.7544,0.8224,0.8662
v3_tiled_vh,804466,train,-16.36,16,16,0.1916,0.4849,0.3235
v3_tiled_vh,828067,test,-14.20,9,16,0.0382,0.4307,0.0835
v3_tiled_vh,833266,valid,-15.27,15,16,0.0831,0.4743,0.1502
v3_tiled_vh,842775,train,-14.98,15,16,0.0241,0.5417,0.0393
v3_tiled_vh,869358,valid,-16.18,16,16,0.0193,0.4496,0.0364
v3_tiled_vh,900498,test,-20.24,15,16,0.4731,0.4932,0.7532
v3_tiled_vh,91379,train,-16.75,16,16,0.1129,0.4557,0.1956
v3_tiled_vh,943439,train,-17.88,14,16,0.1904,0.1704,0.5841
v3_tiled_vh,952728,test,-15.43,14,16,0.0310,0.4174,0.0571
v3_tiled_vh,956930,train,-15.56,16,16,0.1691,0.3480,0.3499
v3_tiled_vh,979278,train,-17.35,8,16,0.0498,0.2854,0.1382
v3_tiled_vh,981708,train,-15.08,13,16,0.0464,0.3555,0.1244
v4_dual_pol,1017769,train,-20.51,16,16,0.5674,0.5775,0.7791
v4_dual_pol,1018317,valid,-23.28,15,16,0.7651,0.8094,0.9019
v4_dual_pol,1018327,test,-16.44,16,16,0.1398,0.0843,0.5296
v4_dual_pol,103447,train,-16.66,16,16,0.1649,0.3062,0.4522
v4_dual_pol,1050276,valid,-17.38,16,16,0.1920,0.1920,0.3680
v4_dual_pol,1068117,valid,-17.67,16,16,0.2088,0.1112,0.4408
v4_dual_pol,1072277,train,-15.12,16,16,0.0860,0.4749,0.1622
v4_dual_pol,118868,valid,-14.26,10,16,0.0665,0.2936,0.1712
v4_dual_pol,135434,train,-16.13,16,16,0.0880,0.2593,0.2970
v4_dual_pol,136196,train,-13.74,16,16,0.0000,0.5065,0.0000
v4_dual_pol,164336,valid,-13.43,16,16,0.0073,0.5941,0.0113
v4_dual_pol,166709,train,-15.57,16,16,0.0344,0.2943,0.0836
v4_dual_pol,177319,train,-13.59,16,16,0.0062,0.4295,0.0112
v4_dual_pol,179238,train,-15.93,16,16,0.0602,0.3724,0.1202
v4_dual_pol,180633,valid,-19.06,13,16,0.4604,0.4648,0.8590
v4_dual_pol,207862,train,-15.95,16,16,0.1051,0.2908,0.2788
v4_dual_pol,244057,valid,-12.23,16,16,0.0000,0.4593,0.0001
v4_dual_pol,25540,train,-14.06,16,16,0.0613,0.5446,0.1087
v4_dual_pol,265762,train,-15.60,15,16,0.0579,0.3812,0.1147
v4_dual_pol,273873,train,-12.60,16,16,0.0350,0.4803,0.0316
v4_dual_pol,285297,train,-16.59,16,16,0.1469,0.3271,0.3294
v4_dual_pol,287642,train,-18.22,16,16,0.1553,0.2562,0.3909
v4_dual_pol,324254,train,-13.30,16,16,0.0148,0.3838,0.0355
v4_dual_pol,373039,train,-13.36,16,16,0.0062,0.5435,0.0103
v4_dual_pol,383430,train,-15.06,14,16,0.1561,0.2027,0.3425
v4_dual_pol,391908,train,-16.00,14,16,0.1227,0.2793,0.3064
v4_dual_pol,399883,test,-19.95,15,16,0.5200,0.4775,0.7734
v4_dual_pol,44475,test,-12.86,16,16,0.0000,0.4354,0.0000
v4_dual_pol,500266,train,-16.38,16,16,0.1457,0.3135,0.3041
v4_dual_pol,533192,valid,-19.68,7,16,0.3628,0.3023,0.6605
v4_dual_pol,534470,train,-14.26,16,16,0.0297,0.3536,0.0790
v4_dual_pol,56450,train,-13.69,16,16,0.0005,0.4755,0.0009
v4_dual_pol,566697,train,-16.29,16,16,0.0682,0.2870,0.1687
v4_dual_pol,570384,test,-15.75,16,16,0.0601,0.2076,0.2308
v4_dual_pol,591317,test,-18.31,14,16,0.4635,0.4442,0.8923
v4_dual_pol,591549,train,-14.52,16,16,0.0450,0.3512,0.0982
v4_dual_pol,592446,test,-14.73,15,16,0.0403,0.2842,0.1356
v4_dual_pol,59460,train,-13.42,16,16,0.0015,0.4794,0.0030
v4_dual_pol,624341,train,-13.53,16,16,0.0123,0.4487,0.0209
v4_dual_pol,631692,test,-13.27,16,16,0.0031,0.4108,0.0073
v4_dual_pol,652725,train,-16.51,16,16,0.0832,0.2676,0.2253
v4_dual_pol,664410,train,-16.47,16,16,0.0516,0.3828,0.1017
v4_dual_pol,691027,valid,-14.97,12,16,0.0330,0.2440,0.1041
v4_dual_pol,698338,train,-15.30,16,16,0.0436,0.3320,0.1136
v4_dual_pol,70352,valid,-15.06,12,16,0.0551,0.2099,0.2481
v4_dual_pol,707886,train,-13.66,12,16,0.0221,0.4248,0.0515
v4_dual_pol,73419,train,-14.64,15,16,0.0349,0.3593,0.0593
v4_dual_pol,747970,train,-13.30,14,16,0.0203,0.3366,0.0567
v4_dual_pol,747992,test,-17.91,16,16,0.4476,0.3507,0.6085
v4_dual_pol,764946,valid,-13.41,16,16,0.0130,0.4168,0.0294
v4_dual_pol,769408,valid,-15.86,16,16,0.0488,0.2882,0.1384
v4_dual_pol,772630,test,-12.73,16,16,0.0087,0.5180,0.0156
v4_dual_pol,773682,train,-16.01,16,16,0.1225,0.3229,0.2822
v4_dual_pol,774689,train,-16.23,16,16,0.0792,0.2442,0.2365
v4_dual_pol,79637,test,-15.41,16,16,0.0197,0.3900,0.0307
v4_dual_pol,80221,test,-22.40,14,16,0.7544,0.7086,0.8918
v4_dual_pol,804466,train,-16.36,16,16,0.1916,0.3702,0.3661
v4_dual_pol,828067,test,-14.20,9,16,0.0382,0.3117,0.1094
v4_dual_pol,833266,valid,-15.27,15,16,0.0831,0.4287,0.1550
v4_dual_pol,842775,train,-14.98,15,16,0.0241,0.4229,0.0434
v4_dual_pol,869358,valid,-16.18,16,16,0.0193,0.3787,0.0416
v4_dual_pol,900498,test,-20.24,15,16,0.4731,0.4403,0.7727
v4_dual_pol,91379,train,-16.75,16,16,0.1129,0.3169,0.2191
v4_dual_pol,943439,train,-17.88,14,16,0.1904,0.1364,0.5165
v4_dual_pol,952728,test,-15.43,14,16,0.0310,0.3184,0.0674
v4_dual_pol,956930,train,-15.56,16,16,0.1691,0.2550,0.3794
v4_dual_pol,979278,train,-17.35,8,16,0.0498,0.1554,0.2429
v4_dual_pol,981708,train,-15.08,13,16,0.0464,0.3251,0.1293
v5_morph,1017769,train,-20.51,16,16,0.5674,0.5791,0.7793
v5_morph,1018317,valid,-23.28,15,16,0.7651,0.8108,0.9018
v5_morph,1018327,test,-16.44,16,16,0.1398,0.0813,0.5305
v5_morph,103447,train,-16.66,16,16,0.1649,0.2973,0.4662
v5_morph,1050276,valid,-17.38,16,16,0.1920,0.1842,0.3659
v5_morph,1068117,valid,-17.67,16,16,0.2088,0.1079,0.4336
